t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1285.710630,59.454057,1.000,12346.696,392700.0
0.010000,1310.892041,48.636607,1.000,8577.131,323850.0
0.050000,1291.951979,37.267073,1.000,7047.895,275700.0
0.100000,1309.602511,69.138663,1.000,6491.463,255000.0
0.500000,1287.024101,47.383223,1.000,5554.953,206850.0
1.000000,1328.926857,35.558983,1.000,4827.799,186000.0
5.000000,1664.340855,77.693073,1.000,3446.827,137850.0
10.000000,2087.781247,86.396397,1.000,2974.841,117150.0
