rho,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.010000,1446.604043,12.510038,0.000,11148.744
0.050000,1443.927751,24.799109,0.000,10918.881
0.100000,1464.555947,26.374375,0.000,10354.069
0.200000,1483.917167,18.717436,0.000,10441.755
0.300000,1504.752039,28.668678,0.000,10420.273
0.400000,1530.941198,9.332903,0.000,10441.333
0.500000,1523.824386,23.995603,0.000,10500.356
