n_ants,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
5.000000,1733.548723,42.825125,0.000,1648.023
10.000000,1706.014202,27.666242,0.000,3258.206
20.000000,1702.135747,23.452879,0.000,6487.528
40.000000,1675.155656,14.634769,0.000,12921.418
60.000000,1661.933662,30.350021,0.000,19378.111
80.000000,1670.130415,20.806330,0.000,25913.600
100.000000,1651.970432,32.822993,0.000,32350.385
