iter_per_temp,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
10,2337.483320,134.822643,1.000,424.131,17000.0
30,1890.762631,26.362699,1.000,1091.289,51000.0
50,1792.239799,64.287684,1.000,1778.287,85000.0
100,1704.710994,64.651077,1.000,3428.154,170000.0
150,1651.608807,42.352300,1.000,5066.166,255000.0
300,1626.935012,40.283912,1.000,10621.341,510000.0
600,1584.175399,22.540288,1.000,21079.848,1020000.0
