alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,1707.864797,92.768155,1.000,301.220,12150.0
0.920,1625.968442,83.255173,1.000,372.472,15450.0
0.940,1561.799404,63.636312,1.000,425.808,20700.0
0.960,1425.357207,45.421730,1.000,673.912,31350.0
0.980,1299.541894,47.436921,1.000,1285.135,63300.0
0.990,1217.939867,28.010417,1.000,2554.412,127200.0
0.992,1192.597847,31.781173,1.000,3028.571,159150.0
0.995,1160.699584,17.327859,1.000,4618.252,255000.0
0.997,1147.152140,30.441958,1.000,7417.112,425250.0
0.999,1116.742415,12.392856,1.000,23791.365,1276950.0
