alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,1210.247056,10.423628,0.000,12406.649
0.500000,1178.670859,14.784294,0.000,12204.848
1.000000,1105.517323,32.719118,0.000,11866.142
1.500000,1103.224579,25.635821,0.333,11673.451
2.000000,1132.021887,27.412073,0.000,11813.162
3.000000,1141.531250,12.509351,0.000,12023.492
5.000000,1190.438662,36.886163,0.000,11806.728
