alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,2441.772574,86.222548,1.000,376.520,12150.0
0.920,2389.800556,140.408569,1.000,432.214,15450.0
0.940,2241.360331,52.235877,1.000,546.746,20700.0
0.960,2154.107924,53.506303,1.000,830.462,31350.0
0.980,1964.665227,43.325461,1.000,1541.636,63300.0
0.990,1863.457879,53.256042,1.000,2832.563,127200.0
0.992,1814.471090,24.068258,1.000,3609.563,159150.0
0.995,1788.136084,40.981530,1.000,5625.991,255000.0
0.997,1784.957429,17.950585,1.000,9581.791,425250.0
0.999,1749.092230,32.801653,1.000,27237.914,1276950.0
