alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,2403.544942,114.721399,1.000,301.503,12150.0
0.920,2037.857207,111.398755,1.000,361.735,15450.0
0.940,2014.197472,64.366583,1.000,496.373,20700.0
0.960,1859.943529,87.655235,1.000,760.505,31350.0
0.980,1690.905273,73.552404,1.000,1455.137,63300.0
0.990,1531.377719,45.938432,1.000,2394.780,127200.0
0.992,1509.533846,72.143726,1.000,3093.396,159150.0
0.995,1443.191479,44.896025,1.000,4988.127,255000.0
0.997,1423.047070,34.190656,1.000,7981.863,425250.0
0.999,1386.602463,30.270207,1.000,22388.707,1276950.0
