tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,1622.895777,46.873302,0.000,12708.013
0.010000,1708.350388,24.461093,0.000,12868.371
0.050000,1754.878658,31.863326,0.000,12770.384
0.100000,1811.277358,33.350762,0.000,16883.720
0.200000,1835.877978,50.564197,0.000,17173.380
