k_candidates,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
3.000000,2090.640051,42.326847,0.000,19603.609
5.000000,2083.307548,36.687583,0.000,22865.125
8.000000,2071.687825,31.916013,0.000,21237.472
10.000000,2086.013540,31.987908,0.000,18438.280
12.000000,2057.959712,19.217920,0.000,24580.322
15.000000,2050.411682,28.799114,0.000,19456.639
20.000000,2081.008853,13.308620,0.000,23775.495
