beta,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,1920.905800,45.843804,0.000,13031.840
0.500000,1906.638846,27.141943,0.000,13168.586
1.000000,1881.984611,38.092213,0.000,13287.084
2.000000,1883.440460,29.503079,0.000,13486.691
2.500000,1862.265493,35.343927,0.000,13368.039
3.500000,1842.041130,24.214665,0.000,13006.586
5.000000,1832.168762,27.365499,0.000,13105.808
