alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,1765.332823,75.196070,1.000,314.028,12150.0
0.920,1715.024830,83.539904,1.000,422.708,15450.0
0.940,1579.085116,56.273181,1.000,558.682,20700.0
0.960,1500.203953,76.692547,1.000,781.110,31350.0
0.980,1344.855698,52.848636,1.000,1455.808,63300.0
0.990,1250.405358,41.493580,1.000,2900.375,127200.0
0.992,1231.142467,43.934109,1.000,3728.279,159150.0
0.995,1209.121983,47.447673,1.000,5963.249,255000.0
0.997,1170.164293,17.753376,1.000,9782.492,425250.0
0.999,1140.002609,21.681316,1.000,28150.756,1276950.0
