t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1075.042697,37.683270,1.000,10964.825,392700.0
0.010000,1077.318948,19.666652,1.000,9276.986,323850.0
0.050000,1053.531505,7.358974,1.000,8028.286,275700.0
0.100000,1107.098346,8.215996,1.000,7510.590,255000.0
0.500000,1111.510469,16.029458,1.000,9224.829,206850.0
1.000000,1135.233482,30.762531,1.000,8631.772,186000.0
5.000000,1507.895311,59.796724,1.000,6596.384,137850.0
10.000000,1814.122633,60.014712,1.000,5623.920,117150.0
