tau_max,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
1.000000,1120.238606,17.600931,0.000,11682.518
5.000000,1127.186769,12.366570,0.000,11721.284
10.000000,1136.586934,15.463625,0.000,11817.876
20.000000,1099.286704,27.438971,0.000,11808.011
50.000000,1103.686103,13.930824,0.000,11845.344
100.000000,1090.602573,22.081319,0.000,11745.316
