beta,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,2205.718713,13.359353,0.000,20310.070
0.500000,2177.080992,35.544230,0.000,21098.753
1.000000,2170.638725,58.547877,0.000,14798.718
2.000000,2150.062693,44.242229,0.000,15549.584
2.500000,2179.370748,25.800679,0.000,15015.993
3.500000,2188.204054,12.219448,0.000,14616.735
5.000000,2168.571502,30.849918,0.000,15072.546
