q,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
1.000000,1749.606497,30.948600,0.000,11751.024
10.000000,1720.477984,14.656720,0.000,11421.619
50.000000,1647.888497,25.203852,0.000,10570.001
100.000000,1625.194188,18.118252,0.000,10518.456
250.000000,1579.218885,23.709564,0.000,10505.882
500.000000,1597.920901,18.182930,0.000,10590.823
1000.000000,1593.116322,14.186743,0.000,10528.480
