alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,1847.214246,118.279144,1.000,253.194,12150.0
0.920,1808.440926,74.925434,1.000,349.545,15450.0
0.940,1661.689114,34.625013,1.000,438.709,20700.0
0.960,1628.497654,69.465270,1.000,620.945,31350.0
0.980,1429.585366,40.229866,1.000,1230.639,63300.0
0.990,1343.824008,34.970452,1.000,2440.189,127200.0
0.992,1336.023772,37.414245,1.000,3118.176,159150.0
0.995,1307.466222,42.219713,1.000,4350.040,255000.0
0.997,1247.590475,27.505242,1.000,7818.005,425250.0
0.999,1238.630826,15.987742,1.000,22949.419,1276950.0
