beta,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,2013.375228,45.695650,0.000,22428.014
0.500000,2023.250203,49.168326,0.000,24550.915
1.000000,1991.177123,37.902832,0.000,25254.425
2.000000,2050.163865,23.649634,0.000,25898.992
2.500000,2051.159345,25.595240,0.000,18434.927
3.500000,2067.810818,26.895431,0.000,16577.144
5.000000,2104.896565,19.270950,0.000,20902.154
