n_ants,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
5.000000,2122.932576,21.676625,0.000,5831.718
10.000000,2055.935250,24.255617,0.000,13137.636
20.000000,2057.707324,20.306859,0.000,24358.701
40.000000,2020.936124,30.735376,0.000,48973.844
60.000000,2038.676630,13.844736,0.000,66784.325
80.000000,2004.003399,21.720373,0.000,67242.655
100.000000,2024.376957,21.891215,0.000,102643.020
