alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,1963.437831,93.759748,1.000,281.638,12150.0
0.920,1869.412528,80.070794,1.000,325.060,15450.0
0.940,1756.146294,78.003522,1.000,402.895,20700.0
0.960,1647.420428,70.738909,1.000,609.347,31350.0
0.980,1453.565906,75.206884,1.000,1248.472,63300.0
0.990,1338.383139,36.037035,1.000,2341.679,127200.0
0.992,1340.210812,53.103029,1.000,2885.464,159150.0
0.995,1305.674388,47.252472,1.000,4680.047,255000.0
0.997,1285.541059,53.494332,1.000,7867.251,425250.0
0.999,1201.644899,16.889405,1.000,21585.190,1276950.0
