t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1583.886987,24.984003,1.000,9566.542,392700.0
0.010000,1591.921578,21.562421,1.000,8597.270,323850.0
0.050000,1596.304115,33.577649,1.000,8412.388,275700.0
0.100000,1595.208145,25.261086,1.000,7831.474,255000.0
0.500000,1645.296741,42.007874,1.000,6598.035,206850.0
1.000000,1648.182405,41.260996,1.000,5616.647,186000.0
5.000000,1888.973028,56.555786,1.000,4482.928,137850.0
10.000000,2097.703781,92.139331,1.000,3852.093,117150.0
