t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1802.485751,37.348031,1.000,10326.092,392700.0
0.010000,1816.865157,42.005224,1.000,8011.436,323850.0
0.050000,1793.351587,37.078019,1.000,7790.628,275700.0
0.100000,1817.952944,33.658794,1.000,7183.111,255000.0
0.500000,1806.034107,38.367386,1.000,5360.180,206850.0
1.000000,1851.727984,62.352210,1.000,4697.657,186000.0
5.000000,2024.552171,67.787072,1.000,4051.790,137850.0
10.000000,2230.762739,73.378295,1.000,3476.349,117150.0
