tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,1571.830144,22.757974,0.000,14113.179
0.010000,1621.795210,23.349867,0.000,13445.380
0.050000,1682.158997,21.134140,0.000,13482.176
0.100000,1721.182122,18.449646,0.000,13697.878
0.200000,1767.487204,11.518085,0.000,13796.744
