alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,1763.511994,32.366400,0.000,13796.580
0.500000,1668.062380,31.271575,0.000,13120.364
1.000000,1616.466095,30.871080,0.000,13004.927
1.500000,1588.367913,22.525598,0.000,13132.425
2.000000,1570.114890,16.169824,0.000,12850.302
3.000000,1583.822986,25.338002,0.000,13160.077
5.000000,1594.320917,21.936558,0.000,12877.301
