alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,2424.321008,94.688591,1.000,298.364,12150.0
0.920,2317.250929,121.460268,1.000,366.528,15450.0
0.940,2230.683591,102.910253,1.000,522.655,20700.0
0.960,2070.072938,46.631673,1.000,703.774,31350.0
0.980,1856.624729,50.611245,1.000,1368.156,63300.0
0.990,1721.060080,33.075989,1.000,2665.777,127200.0
0.992,1706.220305,57.651970,1.000,3311.333,159150.0
0.995,1669.769525,25.233912,1.000,5281.303,255000.0
0.997,1604.536254,45.821495,1.000,8475.478,425250.0
0.999,1575.213011,36.904815,1.000,27204.248,1276950.0
