k_candidates,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
3.000000,1131.999077,19.950441,0.000,9869.552
5.000000,1143.323158,29.176298,0.000,10215.313
8.000000,1109.630591,35.659757,0.000,15656.005
10.000000,1107.743191,25.029086,0.000,18683.351
12.000000,1129.617143,21.732967,0.000,20514.980
15.000000,1123.551202,11.176037,0.167,23173.586
20.000000,1137.273608,20.255579,0.000,27619.292
