rho,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.010000,1123.928364,12.206867,0.000,15383.386
0.050000,1107.604557,14.725431,0.000,11842.108
0.100000,1126.944376,17.019629,0.000,16190.752
0.200000,1130.877544,19.215084,0.000,18784.642
0.300000,1160.515721,12.743775,0.000,18909.458
0.400000,1169.176629,19.232273,0.000,18985.807
0.500000,1182.655905,26.587543,0.000,19050.450
