alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,2144.162470,28.854143,0.000,24294.109
0.500000,1981.615436,28.370145,0.000,23532.034
1.000000,1816.447662,12.916481,0.000,22508.142
1.500000,1765.289210,28.307626,0.000,17115.123
2.000000,1805.686328,32.946674,0.000,15303.156
3.000000,1804.425854,27.725650,0.000,19016.505
5.000000,1804.540927,34.783198,0.000,13972.101
