t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1285.777075,41.154175,1.000,13288.111,392700.0
0.010000,1313.603489,51.004657,1.000,12111.518,323850.0
0.050000,1286.881137,21.494764,1.000,10390.918,275700.0
0.100000,1320.769952,56.150623,1.000,9613.060,255000.0
0.500000,1322.389024,30.702940,1.000,7880.969,206850.0
1.000000,1324.042509,37.935446,1.000,7096.657,186000.0
5.000000,1592.846137,65.090535,1.000,5326.739,137850.0
10.000000,2034.183119,85.135659,1.000,4557.758,117150.0
