rho,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.010000,1586.982754,26.515595,0.000,13005.663
0.050000,1602.880269,14.230994,0.000,13154.843
0.100000,1611.822549,35.260880,0.000,13013.274
0.200000,1650.820674,15.075673,0.000,13162.087
0.300000,1677.287465,34.640502,0.000,13179.357
0.400000,1691.000601,11.584382,0.000,13230.500
0.500000,1701.409095,23.483361,0.000,11718.989
