alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,2391.880286,19.902459,0.000,23788.303
0.500000,2227.102687,24.108630,0.000,26260.660
1.000000,2055.183715,23.075055,0.000,23175.304
1.500000,1983.301090,31.658592,0.000,22344.638
2.000000,1966.051360,31.509210,0.000,21255.623
3.000000,1958.484438,40.525382,0.000,24008.188
5.000000,1991.511774,25.013679,0.000,18023.211
