iter_per_temp,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
10,1607.785062,56.664893,1.000,677.418,17000.0
30,1373.366266,44.847262,1.000,1635.529,51000.0
50,1306.847625,46.262260,1.000,3257.119,85000.0
100,1200.629178,15.782501,1.000,4593.660,170000.0
150,1176.581715,44.424331,1.000,8698.500,255000.0
300,1142.103543,41.098103,1.000,18321.513,510000.0
600,1093.942633,20.285644,1.000,36790.459,1020000.0
