alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,1844.680478,28.470213,0.000,13215.126
0.500000,1775.528259,33.168604,0.000,12974.165
1.000000,1685.705947,26.715968,0.000,13201.786
1.500000,1647.533040,36.225236,0.000,12400.148
2.000000,1629.638013,49.532889,0.000,12167.852
3.000000,1655.047271,35.171020,0.000,15520.296
5.000000,1692.099906,12.837205,0.000,18972.499
