q,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
1.000000,1858.519619,27.276819,0.000,12627.026
10.000000,1786.547391,31.755123,0.000,12713.058
50.000000,1728.438874,21.866287,0.000,12587.847
100.000000,1697.210310,23.055736,0.000,12439.603
250.000000,1661.993946,37.510656,0.000,12388.841
500.000000,1671.250611,30.846978,0.000,12308.371
1000.000000,1654.023821,34.042419,0.000,10963.190
