k_candidates,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
3.000000,1478.229098,24.571606,0.000,9971.450
5.000000,1486.995317,39.461874,0.000,9401.887
8.000000,1428.013272,39.064576,0.000,9670.006
10.000000,1481.233478,14.726510,0.000,10419.166
12.000000,1458.049053,7.795419,0.000,11003.014
15.000000,1436.745831,46.473687,0.000,12234.581
20.000000,1445.175133,26.655334,0.000,13399.970
