tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,2012.812305,25.416601,0.000,23335.717
0.010000,2052.337932,12.187865,0.000,25716.887
0.050000,2154.990227,24.891607,0.000,26080.947
0.100000,2231.280596,24.232308,0.000,22587.814
0.200000,2345.452695,32.330098,0.000,18815.556
