beta,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.100000,1488.442163,8.424504,0.000,14043.555
0.500000,1439.907470,23.735394,0.000,19975.738
1.000000,1436.284599,29.496914,0.000,19769.574
2.000000,1395.133168,29.259692,0.000,19571.618
2.500000,1412.609348,28.914170,0.000,18099.707
3.500000,1407.822835,32.041590,0.000,15022.868
5.000000,1410.905317,24.993895,0.000,19645.570
