iter_per_temp,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
10,2093.003329,52.560481,1.000,518.690,17000.0
30,1759.310926,73.395467,1.000,1358.321,51000.0
50,1704.734573,41.764697,1.000,1994.502,85000.0
100,1644.609569,28.281894,1.000,3881.184,170000.0
150,1607.411673,14.506771,1.000,5607.678,255000.0
300,1567.789463,14.246140,1.000,12328.907,510000.0
600,1541.060845,15.611748,1.000,24023.796,1020000.0
