t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1212.729228,25.552898,1.000,17361.322,392700.0
0.010000,1207.924140,19.439530,1.000,14347.465,323850.0
0.050000,1184.577026,16.937929,1.000,12415.794,275700.0
0.100000,1218.223797,31.860632,1.000,11006.112,255000.0
0.500000,1264.592640,34.479621,1.000,6243.844,206850.0
1.000000,1261.777451,45.910313,1.000,5583.151,186000.0
5.000000,1618.623895,53.736376,1.000,4251.497,137850.0
10.000000,1875.273973,77.879473,1.000,3597.104,117150.0
