t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1166.178309,27.387164,1.000,14321.400,392700.0
0.010000,1147.462508,23.834477,1.000,10791.730,323850.0
0.050000,1172.544658,17.139001,1.000,6648.323,275700.0
0.100000,1154.628891,34.389786,1.000,6299.402,255000.0
0.500000,1187.142698,45.673488,1.000,5072.089,206850.0
1.000000,1221.885894,17.283338,1.000,4524.561,186000.0
5.000000,1563.064736,68.119406,1.000,3364.224,137850.0
10.000000,1928.311267,73.910200,1.000,3314.926,117150.0
