t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1838.315695,36.832591,1.000,10901.022,392700.0
0.010000,1840.276443,61.117142,1.000,8353.508,323850.0
0.050000,1806.115429,50.601740,1.000,9388.094,275700.0
0.100000,1822.587159,53.546797,1.000,11960.979,255000.0
0.500000,1858.496351,46.728582,1.000,9719.466,206850.0
1.000000,1914.815570,58.709561,1.000,7812.777,186000.0
5.000000,2092.345091,80.408802,1.000,6515.423,137850.0
10.000000,2401.510463,74.989254,1.000,6417.241,117150.0
