tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,1991.133394,53.442321,0.000,15068.000
0.010000,2002.823486,36.941209,0.000,14020.425
0.050000,2089.087622,25.931851,0.000,14616.282
0.100000,2155.946038,14.722812,0.000,14455.517
0.200000,2224.678345,31.362385,0.000,14665.023
