max_iterations,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
50.000000,1543.046659,9.815548,0.000,851.914
100.000000,1505.551644,28.194418,0.000,1696.779
200.000000,1479.285306,25.388734,0.000,3399.284
400.000000,1465.665007,35.331956,0.000,6836.735
800.000000,1455.130455,30.822403,0.000,13623.258
1200.000000,1441.510790,37.520675,0.000,20350.405
1600.000000,1417.740705,18.458157,0.000,24464.452
