k_candidates,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
3.000000,1734.765901,32.906383,0.000,11630.847
5.000000,1761.417807,25.709666,0.000,10989.712
8.000000,1715.621788,22.413539,0.000,11797.872
10.000000,1705.957611,29.638373,0.000,12421.955
12.000000,1673.266045,41.625294,0.000,13630.712
15.000000,1681.302019,23.832105,0.000,14726.407
20.000000,1685.198982,21.225091,0.000,17891.139
