rho,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.010000,1996.710338,18.603887,0.000,17210.352
0.050000,2011.927342,19.748741,0.000,13545.537
0.100000,2002.414549,30.735699,0.000,13712.575
0.200000,2046.740755,23.291645,0.000,13776.037
0.300000,2074.873669,29.882252,0.000,18195.365
0.400000,2084.835172,26.968240,0.000,21941.287
0.500000,2102.976721,32.785165,0.000,21657.463
