tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,1827.583503,39.237511,0.000,13301.798
0.010000,1865.918070,43.894448,0.000,13233.731
0.050000,1971.582008,18.998792,0.000,13761.640
0.100000,1999.382094,32.653503,0.000,13546.087
0.200000,2043.260106,31.747175,0.000,13528.163
