instance_index,algorithm,run_number,distance,time_ms
5,ACO,1,1112.954829,24334.167
5,ACO,2,1107.584054,24287.465
5,ACO,3,1168.805586,25525.301
5,ACO,4,1132.125286,25389.529
5,ACO,5,1104.004332,24759.084
5,ACO,6,1110.521075,24542.312
5,ACO,7,1142.565175,24473.103
5,ACO,8,1149.570653,25226.688
5,ACO,9,1082.231723,24955.591
6,ACO,0,1846.880695,28574.391
6,ACO,1,1910.890399,28035.586
6,ACO,2,1735.551876,27526.652
6,ACO,3,1834.744431,27526.228
6,ACO,4,1834.424130,28070.068
6,ACO,5,1787.377250,27525.076
6,ACO,6,1835.023338,27280.121
6,ACO,7,1789.374737,26675.317
6,ACO,8,1714.484491,27741.680
6,ACO,9,1837.008387,27384.987
7,ACO,0,1640.526466,26471.141
7,ACO,1,1609.207234,26518.993
7,ACO,2,1574.063298,26552.735
7,ACO,3,1682.616311,26164.544
7,ACO,4,1650.439991,26187.322
7,ACO,5,1615.162656,25782.054
7,ACO,6,1593.928795,26740.032
7,ACO,7,1667.591015,26488.014
7,ACO,8,1604.790002,26589.873
7,ACO,9,1629.911173,26233.095
8,ACO,0,1531.314314,28822.629
8,ACO,1,1555.070175,28509.973
8,ACO,2,1535.688344,28223.772
8,ACO,3,1583.556655,28462.061
8,ACO,4,1559.758229,27663.908
8,ACO,5,1557.457157,28264.512
8,ACO,6,1509.164461,28266.465
8,ACO,7,1553.562038,28166.936
8,ACO,8,1594.098546,28488.762
8,ACO,9,1557.374807,28352.447
9,ACO,0,1320.301532,26533.347
9,ACO,1,1366.694031,26553.766
9,ACO,2,1422.917361,27472.966
9,ACO,3,1329.520773,27359.830
9,ACO,4,1318.233526,26998.883
9,ACO,5,1417.066567,27275.762
9,ACO,6,1376.812882,27202.218
9,ACO,7,1394.402136,27249.786
9,ACO,8,1357.648763,26419.822
9,ACO,9,1354.665950,27787.771
0,HC,0,1980.727349,1366.320
0,HC,1,1874.249556,1314.210
0,HC,2,1813.866363,2025.519
0,HC,3,1859.331164,2006.874
0,HC,4,1810.300839,1131.766
0,HC,5,1870.914077,1877.177
0,HC,6,1786.868512,2303.716
0,HC,7,1934.887120,827.630
0,HC,8,1786.438694,1716.585
0,HC,9,1780.073208,2061.713
1,HC,0,1720.824178,1972.903
1,HC,1,1684.600478,1444.373
1,HC,2,1744.326864,1199.448
1,HC,3,1646.958489,2064.061
1,HC,4,1642.659494,2886.520
1,HC,5,1663.125392,1432.988
1,HC,6,1625.007087,2027.518
1,HC,7,1706.980968,1323.579
1,HC,8,1697.767259,1760.422
1,HC,9,1730.723258,1908.308
2,HC,0,1859.460941,1543.028
2,HC,1,1893.862787,1961.289
2,HC,2,1934.462369,2002.529
2,HC,3,1976.555485,2242.468
2,HC,4,2062.831646,1674.483
2,HC,5,1976.671875,1223.265
2,HC,6,1921.693412,1622.182
2,HC,7,2042.654041,1189.632
2,HC,8,1995.087431,1618.681
2,HC,9,2097.791390,1399.976
3,HC,0,1904.146823,1409.949
3,HC,1,1768.328235,1407.469
3,HC,2,1828.941432,1584.183
3,HC,3,1939.014517,1456.943
3,HC,4,1802.529461,1470.549
3,HC,5,1815.783040,1029.934
3,HC,6,1719.647465,1984.664
3,HC,7,1880.395953,2060.773
3,HC,8,1703.739026,1900.590
3,HC,9,1908.804105,1328.293
4,HC,0,1247.372737,1497.804
4,HC,1,1232.489346,1365.862
4,HC,2,1201.250382,2421.218
4,HC,3,1256.971321,1314.199
4,HC,4,1278.767868,1163.932
4,HC,5,1227.654228,1483.627
4,HC,6,1288.423019,1442.168
4,HC,7,1275.950173,1500.379
4,HC,8,1242.103510,1649.410
4,HC,9,1229.989021,1678.729
5,HC,0,1196.584200,1600.644
5,HC,1,1095.399498,1461.149
5,HC,2,1200.081642,1964.618
5,HC,3,1130.711334,1088.938
5,HC,4,1127.856248,1195.171
5,HC,5,1180.655076,1477.942
5,HC,6,1166.147951,1397.246
5,HC,7,1103.542097,1358.064
5,HC,8,1210.956180,1217.424
5,HC,9,1185.824473,1326.761
6,HC,0,1642.822338,1350.854
6,HC,1,1564.110237,1468.345
6,HC,2,1646.257771,1350.833
6,HC,3,1629.148960,1194.303
6,HC,4,1553.924644,896.636
6,HC,5,1597.850584,1245.788
6,HC,6,1581.953454,1424.559
6,HC,7,1619.818344,1272.313
6,HC,8,1551.363033,1282.564
6,HC,9,1682.856612,1034.828
7,HC,0,1360.701061,984.915
7,HC,1,1541.485570,1178.473
7,HC,2,1546.979697,1897.481
7,HC,3,1464.038412,971.163
7,HC,4,1527.674128,1483.732
7,HC,5,1303.189578,1036.301
7,HC,6,1480.749089,1560.156
7,HC,7,1640.029666,1086.068
7,HC,8,1390.096447,1625.633
7,HC,9,1486.273078,1241.783
8,HC,0,1467.784409,1217.368
8,HC,1,1365.120186,1347.085
8,HC,2,1432.780980,1069.695
8,HC,3,1441.176086,964.366
8,HC,4,1409.434534,1527.736
8,HC,5,1513.364686,1338.964
8,HC,6,1388.669034,929.607
8,HC,7,1434.425758,1540.447
8,HC,8,1457.035500,1375.124
8,HC,9,1318.664097,1257.584
9,HC,0,1228.084592,1240.462
9,HC,1,1309.193000,1019.862
9,HC,2,1254.210595,2215.864
9,HC,3,1267.368772,1766.535
9,HC,4,1340.480125,1774.711
9,HC,5,1237.538235,1975.069
9,HC,6,1255.230979,1003.065
9,HC,7,1233.107146,1309.496
9,HC,8,1243.032592,1421.229
9,HC,9,1280.855980,1882.983
