t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1673.045043,35.672280,1.000,13875.678,392700.0
0.010000,1676.405379,69.568214,1.000,10262.856,323850.0
0.050000,1613.837890,37.096582,1.000,8835.656,275700.0
0.100000,1651.551456,35.003683,1.000,9631.135,255000.0
0.500000,1663.273927,30.307077,1.000,10210.454,206850.0
1.000000,1726.627524,45.771035,1.000,9176.383,186000.0
5.000000,1925.378441,78.341091,1.000,7052.650,137850.0
10.000000,2253.643218,58.622100,1.000,5987.191,117150.0
