tau_min,mean_distance,std_distance,feasible_rate,mean_elapsed_ms
0.001000,1076.848431,25.541250,0.000,12521.961
0.010000,1135.340614,14.599695,0.000,12361.309
0.050000,1163.332218,21.581062,0.000,12599.223
0.100000,1185.151253,18.841454,0.000,12644.510
0.200000,1209.693695,19.393633,0.000,12359.679
