alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,2718.613855,76.251277,1.000,312.137,12150.0
0.920,2600.732378,120.513773,1.000,373.517,15450.0
0.940,2421.618866,132.973043,1.000,485.671,20700.0
0.960,2283.025563,57.556834,1.000,711.806,31350.0
0.980,2020.778736,48.937744,1.000,1409.268,63300.0
0.990,1901.086097,35.156606,1.000,2595.809,127200.0
0.992,1886.040261,57.704478,1.000,3827.871,159150.0
0.995,1837.643631,52.376331,1.000,5318.816,255000.0
0.997,1797.086189,37.119896,1.000,8466.237,425250.0
0.999,1725.377273,35.033941,1.000,25575.481,1276950.0
