t_final,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.001000,1458.864983,38.489636,1.000,14811.098,392700.0
0.010000,1478.975641,36.698172,1.000,12277.511,323850.0
0.050000,1467.001242,35.007460,1.000,10507.204,275700.0
0.100000,1454.578561,38.831641,1.000,9728.896,255000.0
0.500000,1468.378698,41.823954,1.000,7989.866,206850.0
1.000000,1540.740887,30.806773,1.000,7133.468,186000.0
5.000000,1804.243799,105.424416,1.000,5405.561,137850.0
10.000000,2216.569238,197.789311,1.000,4627.664,117150.0
