alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,1544.557453,80.848885,1.000,289.208,12150.0
0.920,1470.059380,53.940161,1.000,345.834,15450.0
0.940,1385.730808,43.803926,1.000,585.972,20700.0
0.960,1318.233949,48.177740,1.000,799.623,31350.0
0.980,1220.015583,32.332272,1.000,1488.079,63300.0
0.990,1150.426798,43.751336,1.000,3114.514,127200.0
0.992,1105.307471,27.716198,1.000,3660.363,159150.0
0.995,1072.980599,23.851521,1.000,5740.361,255000.0
0.997,1073.271621,29.768078,1.000,8717.684,425250.0
0.999,1018.944819,15.413894,1.000,27262.816,1276950.0
